"Table 23 Housing market: simple average house prices by new/other dwellings, type of buyer and  region, United Kingdom, from 1986 1, 2, 3",,,,,,,,,,
Previously DCLG table 503,,,,,,,,,,
,,New dwellings,,Other dwellings,,All dwellings,,First time buyers,,Former owner occupiers
,,Price,,Price,,Price,,Price,,Price
,,£,,£,,£,,£,,£
UNITED KINGDOM,,,,,,,,,,
K02000001,,,,,,,,,,
2007,,"261,000",,"279,000",,"278,000",,"189,000",,"315,000"
2008,,"254,000",,"288,000",,"285,000",,"194,000",,"326,000"
2009,,"230,000",,"277,000",,"274,000",,"189,000",,"313,000"
2010,,"265,000",,"312,000",,"309,000",,"208,000",,"349,000"
2011,,"291,000",,"302,000",,"301,000",,"205,000",,"342,000"
2012,,"310,000",,"301,000",,"303,000",,"209,000",,"345,000"
2013,,"318,000",,"304,000",,"305,000",,"214,000",,"353,000"
2014,,"361,000",,"329,000",,"330,000",,"231,000",,"385,000"
2015,,"359,000",,"356,000",,"356,000",,"248,000",,"420,000"
2016,,"371,000",,"375,000",,"375,000",,"265,000",,"454,000"
2017,,"377,000",,"379,000",,"379,000",,"275,000",,"455,000"
2018,,"381,000",,"382,000",,"382,000",,"282,000",,"462,000"
2019,,"374,000",,"382,000",,"381,000",,"280,000",,"464,000"
2020,,"386,000",,"409,000",,"404,000",,"291,000",,"493,000"
2021,,"382,000",,"435,000",,"426,000",,"300,000",,"523,000"
,,,,,,,,,,
SOUTH WEST,,,,,,,,,,
E12000009,,,,,,,,,,
1986,,"44,000",,"38,000",,"39,000",,"29,000",,"46,000"
1987,,"52,000",,"44,000",,"45,000",,"33,000",,"53,000"
1988,,"69,000",,"57,000",,"58,000",,"41,000",,"70,000"
